Year,Month,Murders.with.Firearm
1998,Enero,23
,Febrero,21
,Marzo,31
,Abril,30
,Mayo,40
,Junio,35
,Julio,33
,Agosto,19
,Septiembre,34
,Octubre,28
,Noviembre,40
,Diciembre,51
1999,Enero,28
,Febrero,24
,Marzo,31
,Abril,23
,Mayo,29
,Junio,23
,Julio,23
,Agosto,19
,Septiembre,28
,Octubre,28
,Noviembre,29
,Diciembre,39
2000,Enero,34
,Febrero,24
,Marzo,31
,Abril,24
,Mayo,29
,Junio,34
,Julio,30
,Agosto,38
,Septiembre,35
,Octubre,26
,Noviembre,28
,Diciembre,33
2001,Enero,30
,Febrero,26
,Marzo,24
,Abril,37
,Mayo,28
,Junio,28
,Julio,29
,Agosto,39
,Septiembre,22
,Octubre,28
,Noviembre,25
,Diciembre,31
2002,Enero,26
,Febrero,34
,Marzo,50
,Abril,40
,Mayo,29
,Junio,41
,Julio,30
,Agosto,41
,Septiembre,16
,Octubre,24
,Noviembre,31
,Diciembre,15
2003,Enero,33
,Febrero,18
,Marzo,25
,Abril,23
,Mayo,23
,Junio,40
,Julio,25
,Agosto,13
,Septiembre,26
,Octubre,21
,Noviembre,34
,Diciembre,24
2004,Enero,25
,Febrero,17
,Marzo,16
,Abril,20
,Mayo,24
,Junio,25
,Julio,24
,Agosto,23
,Septiembre,12
,Octubre,20
,Noviembre,12
,Diciembre,23
2005,Enero,24
,Febrero,27
,Marzo,44
,Abril,24
,Mayo,23
,Junio,33
,Julio,22
,Agosto,16
,Septiembre,20
,Octubre,31
,Noviembre,25
,Diciembre,40
2006,Enero,36
,Febrero,27
,Marzo,25
,Abril,42
,Mayo,38
,Junio,28
,Julio,23
,Agosto,30
,Septiembre,33
,Octubre,44
,Noviembre,43
,Diciembre,23
2007,Enero,16
,Febrero,20
,Marzo,24
,Abril,23
,Mayo,32
,Junio,23
,Julio,19
,Agosto,23
,Septiembre,21
,Octubre,33
,Noviembre,24
,Diciembre,21
2008,Enero,39
,Febrero,85
,Marzo,126
,Abril,76
,Mayo,183
,Junio,204
,Julio,178
,Agosto,290
,Septiembre,155
,Octubre,275
,Noviembre,277
,Diciembre,240
