Year,Month,Firearm.Homicide,Homicide
1998,Enero,50,86
,Febrero,43,71
,Marzo,49,86
,Abril,60,92
,Mayo,55,82
,Junio,75,115
,Julio,61,98
,Agosto,59,105
,Septiembre,83,129
,Octubre,67,99
,Noviembre,64,96
,Diciembre,66,90
1999,Enero,61,87
,Febrero,51,76
,Marzo,69,90
,Abril,58,92
,Mayo,67,102
,Junio,58,88
,Julio,71,111
,Agosto,70,103
,Septiembre,56,97
,Octubre,78,111
,Noviembre,58,78
,Diciembre,58,86
2000,Enero,50,88
,Febrero,47,74
,Marzo,55,78
,Abril,46,71
,Mayo,53,82
,Junio,39,67
,Julio,56,91
,Agosto,52,80
,Septiembre,49,85
,Octubre,44,68
,Noviembre,41,72
,Diciembre,54,83
2001,Enero,36,57
,Febrero,34,53
,Marzo,48,68
,Abril,48,75
,Mayo,46,90
,Junio,44,90
,Julio,48,72
,Agosto,51,88
,Septiembre,58,92
,Octubre,34,69
,Noviembre,54,82
,Diciembre,54,88
2002,Enero,43,76
,Febrero,45,77
,Marzo,64,93
,Abril,55,82
,Mayo,47,73
,Junio,51,79
,Julio,67,97
,Agosto,54,92
,Septiembre,32,59
,Octubre,46,73
,Noviembre,40,68
,Diciembre,38,69
2003,Enero,44,61
,Febrero,48,74
,Marzo,45,75
,Abril,45,79
,Mayo,49,86
,Junio,51,80
,Julio,57,96
,Agosto,42,76
,Septiembre,59,77
,Octubre,43,74
,Noviembre,40,63
,Diciembre,45,67
2004,Enero,44,65
,Febrero,52,85
,Marzo,38,74
,Abril,43,71
,Mayo,59,98
,Junio,53,89
,Julio,46,70
,Agosto,46,94
,Septiembre,41,70
,Octubre,61,87
,Noviembre,37,78
,Diciembre,45,75
2005,Enero,41,72
,Febrero,44,70
,Marzo,68,99
,Abril,68,104
,Mayo,59,99
,Junio,56,91
,Julio,63,97
,Agosto,57,93
,Septiembre,54,92
,Octubre,59,97
,Noviembre,42,76
,Diciembre,44,81
2006,Enero,74,93
,Febrero,45,71
,Marzo,68,96
,Abril,70,99
,Mayo,78,109
,Junio,57,106
,Julio,52,87
,Agosto,60,92
,Septiembre,67,107
,Octubre,43,71
,Noviembre,54,76
,Diciembre,54,83
2007,Enero,40,54
,Febrero,43,62
,Marzo,55,80
,Abril,55,93
,Mayo,73,103
,Junio,51,88
,Julio,32,56
,Agosto,42,74
,Septiembre,36,67
,Octubre,31,65
,Noviembre,49,66
,Diciembre,43,74
2008,Enero,72,114
,Febrero,89,124
,Marzo,165,233
,Abril,112,155
,Mayo,181,241
,Junio,214,282
,Julio,180,226
,Agosto,250,307
,Septiembre,159,218
,Octubre,334,425
,Noviembre,389,456
,Diciembre,275,320
